Date;Open;High;Low;Close;Adj_Close;Volume
2004.06.11 00:00;100.5676;100.7771;100.2533;100.5938;100.5938;1005.9
2004.06.14 00:00;100.8550;101.2487;100.1989;100.4613;100.4613;7048.8
2004.06.15 00:00;99.5097;101.0694;99.0678;101.0174;101.0174;7161.9
2004.06.16 00:00;101.0747;101.7797;99.8997;100.2131;100.2131;7426.0
2004.06.17 00:00;98.9527;100.4230;98.7979;99.9845;99.9845;5711.8
2004.06.18 00:00;101.1706;103.0450;100.4416;102.6545;102.6545;8297.7
2004.06.21 00:00;102.6162;103.2668;102.0436;102.3039;102.3039;6152.1
2004.06.22 00:00;103.4663;104.3882;103.3346;103.8087;103.8087;5233.6
2004.06.23 00:00;102.4896;103.1659;102.0474;102.9058;102.9058;6718.5
2004.06.24 00:00;102.5380;104.8282;102.3037;104.3857;104.3857;7317.0
2004.06.25 00:00;105.7789;105.9894;105.2789;105.5420;105.5420;5975.0
2004.06.28 00:00;104.0334;104.7584;103.2566;103.5156;103.5156;7765.9
2004.06.29 00:00;104.5600;104.7430;102.0754;102.3370;102.3370;8032.6
2004.06.30 00:00;101.5561;102.8012;101.4523;102.0230;102.0230;7806.1
2004.07.01 00:00;102.8321;103.9350;102.8059;103.7250;103.7250;6437.4
2004.07.02 00:00;103.5600;104.7920;102.5640;104.2677;104.2677;5611.3
2004.07.06 00:00;102.8717;103.1303;100.4668;101.3977;101.3977;3681.0
2004.07.07 00:00;103.5277;105.8919;103.5277;105.5504;105.5504;2938.0
2004.07.08 00:00;103.8728;105.6307;103.2265;105.2947;105.2947;3336.7
2004.07.09 00:00;106.5758;106.7067;105.9740;106.5235;106.5235;2930.2
2004.07.12 00:00;106.3713;106.6325;105.7706;106.1885;106.1885;3193.8
2004.07.13 00:00;107.0252;107.0778;105.0535;105.9736;105.9736;5899.1
2004.07.14 00:00;103.8109;105.1060;103.8109;104.8470;104.8470;3621.0
2004.07.15 00:00;105.0924;105.3003;104.1826;104.7805;104.7805;6974.2
2004.07.16 00:00;105.4451;106.4915;105.1051;106.2299;106.2299;3258.1
2004.07.19 00:00;104.4116;104.9266;103.9739;104.2314;104.2314;3119.8
2004.07.20 00:00;106.0410;106.3814;104.3653;104.9413;104.9413;6311.4
2004.07.21 00:00;104.4521;105.0537;103.0133;103.6150;103.6150;7048.1
2004.07.22 00:00;102.6703;103.1370;101.8407;101.9703;101.9703;6981.9
2004.07.23 00:00;102.5269;102.7089;100.4987;101.2268;101.2268;6972.9
2004.07.26 00:00;101.9119;102.6449;101.5977;102.0428;102.0428;7363.9
2004.07.27 00:00;101.3078;101.9823;99.9068;100.2960;100.2960;11188.4
2004.07.28 00:00;99.9219;100.8277;99.5078;100.2325;100.2325;11712.9
2004.07.29 00:00;99.7623;100.6639;99.2472;99.7108;99.7108;9170.0
2004.07.30 00:00;101.7983;103.0342;101.5879;102.6924;102.6924;10409.2
2004.08.02 00:00;102.1932;103.1096;102.1932;102.4027;102.4027;7121.2
2004.08.03 00:00;101.1542;101.9297;100.3270;101.6195;101.6195;11732.6
2004.08.04 00:00;103.5087;103.5087;102.4048;102.9830;102.9830;11272.5
2004.08.05 00:00;100.8849;101.3232;100.4982;101.0138;101.0138;6917.4
2004.08.06 00:00;102.6670;104.8944;102.4050;104.5013;104.5013;6949.2
2004.08.09 00:00;104.6989;105.0137;104.1743;104.8826;104.8826;5367.9
2004.08.10 00:00;104.7324;104.9945;104.1296;104.6014;104.6014;5337.0
2004.08.11 00:00;103.4996;103.7596;101.9917;102.5896;102.5896;5591.4
2004.08.12 00:00;103.2895;103.8647;102.6882;102.8190;102.8190;6386.6
2004.08.13 00:00;102.6123;104.0726;102.1690;103.8118;103.8118;9913.0
2004.08.16 00:00;103.3733;104.6191;103.1916;104.1519;104.1519;5215.3
2004.08.17 00:00;105.0038;105.7088;104.3509;105.7088;105.7088;3801.9
2004.08.18 00:00;104.7681;105.0275;104.0675;104.7681;104.7681;2348.5
2004.08.19 00:00;104.0046;104.9576;103.8243;104.5970;104.5970;5255.7
2004.08.20 00:00;105.7911;107.7970;105.4003;107.3801;107.3801;6982.1
2004.08.23 00:00;106.9372;106.9372;105.8985;106.2880;106.2880;7037.1
2004.08.24 00:00;107.8823;107.8823;105.7752;105.7752;105.7752;7423.8
2004.08.25 00:00;105.4774;107.0000;105.4249;106.7900;106.7900;11336.1
2004.08.26 00:00;106.2827;106.9367;105.7072;106.2827;106.2827;6205.8
2004.08.27 00:00;105.0592;105.5761;103.5860;103.9737;103.9737;9346.7
2004.08.30 00:00;105.9147;107.5733;105.8620;107.4417;107.4417;3494.7
2004.08.31 00:00;106.0971;107.1403;105.9667;106.7491;106.7491;4051.3
2004.09.01 00:00;105.8383;105.8900;104.8564;105.3732;105.3732;6808.8
2004.09.02 00:00;105.6013;105.7308;104.8245;105.0316;105.0316;4519.8
2004.09.03 00:00;106.2288;106.5435;104.5243;104.8390;104.8390;5728.6
2004.09.07 00:00;104.6759;104.9372;103.5523;103.9443;103.9443;5243.3
2004.09.08 00:00;102.4170;102.9319;101.5159;102.7517;102.7517;8791.0
2004.09.09 00:00;104.4167;104.9410;103.9710;104.2332;104.2332;10687.6
2004.09.10 00:00;104.5116;105.6939;104.4328;105.6939;105.6939;10180.3
2004.09.13 00:00;103.7118;104.5392;102.9361;104.2806;104.2806;9354.7
2004.09.14 00:00;104.7381;105.5951;104.2966;105.3354;105.3354;5482.7
2004.09.15 00:00;105.6944;105.7465;104.8599;105.5118;105.5118;7427.7
2004.09.16 00:00;105.4653;105.9883;105.0208;105.5961;105.5961;10007.5
2004.09.17 00:00;105.7904;106.5239;105.4498;106.1047;106.1047;10329.3
2004.09.20 00:00;106.1563;106.2874;105.6318;106.0252;106.0252;6936.2
2004.09.21 00:00;105.8809;107.2420;105.6191;107.1373;107.1373;5537.2
2004.09.22 00:00;105.9735;106.2330;104.7276;105.4544;105.4544;9020.0
